acc,cik,name,filing_date,words,chars,tail_share,marker,line,anchor
0001628280-26-024990,19617,JPMORGAN CHASE & CO,2026-04-14,3600,22344,0.0,,,
0000027419-19-000002,27419,TARGET CORP,2019-03-05,4238,26260,0.0,,,
0000885725-17-000026,885725,BOSTON SCIENTIFIC CORP,2017-07-27,5567,35648,0.0,,,
0000059478-21-000010,59478,ELI LILLY & Co,2021-01-29,9663,63076,0.0,,,
0000354950-21-000052,354950,"HOME DEPOT, INC.",2021-02-23,1941,12579,0.0,,,
0000060667-21-000145,60667,LOWES COMPANIES INC,2021-08-18,2493,16251,0.0,,,
0001558370-25-009445,1318220,"Waste Connections, Inc.",2025-07-23,4105,28362,0.0,,,
0001534701-19-000133,1534701,Phillips 66,2019-10-25,3666,23064,0.0,,,
0001193125-25-109972,1512673,"Block, Inc.",2025-05-01,9894,64013,0.0,,,
0001123360-15-000022,1123360,GLOBAL PAYMENTS INC,2015-07-28,6902,42282,0.0,,,
0001321655-22-000029,1321655,Palantir Technologies Inc.,2022-11-07,3357,22918,0.0,,,
0000798354-24-000154,798354,FISERV INC,2024-07-24,5347,34827,0.0,,,
0001157523-20-000980,895421,MORGAN STANLEY,2020-07-16,4482,28628,0.0,,,
0000063908-22-000002,63908,MCDONALDS CORP,2022-01-27,2595,17479,0.0,,,
0001193125-18-136586,1489393,LyondellBasell Industries N.V.,2018-04-27,2730,17956,0.0,,,
0000320187-16-000372,320187,"NIKE, Inc.",2016-09-27,2455,14994,0.0,,,
0000010795-21-000083,10795,BECTON DICKINSON & CO,2021-11-04,5665,37405,0.22296484427215613,supplemental information,SUPPLEMENTAL INFORMATION,
0000008670-19-000017,8670,AUTOMATIC DATA PROCESSING INC,2019-07-31,6376,39389,0.0,,,
0001193125-21-052320,1512673,"Block, Inc.",2021-02-23,11747,75013,0.0,,,
0000019617-16-001048,19617,JPMORGAN CHASE & CO,2016-07-14,3360,20249,0.0,,,
0001157523-21-000609,4281,Howmet Aerospace Inc.,2021-05-06,6498,41653,0.0,,,
0000080424-21-000083,80424,PROCTER & GAMBLE Co,2021-07-30,5603,35783,0.0,,,
0001193125-25-100774,73309,NUCOR CORP,2025-04-28,3291,20796,0.0,,,
0000050863-25-000107,50863,INTEL CORP,2025-07-24,5441,37429,0.41043041491891313,supplemental operating,Supplemental Operating Segment Results,
0000707549-24-000125,707549,LAM RESEARCH CORP,2024-10-23,2932,19661,0.0,,,
0000070858-21-000079,70858,BANK OF AMERICA CORP /DE/,2021-07-14,9002,59040,0.0,,,
0001104659-24-011936,1571949,"Intercontinental Exchange, Inc.",2024-02-08,4388,27073,0.0,,,
0000010795-25-000019,10795,BECTON DICKINSON & CO,2025-02-05,5938,39422,0.18870174014509664,supplemental information,SUPPLEMENTAL INFORMATION,
0001193125-20-281183,1090012,DEVON ENERGY CORP/DE,2020-10-29,3425,22902,0.0,,,
0001637459-19-000065,1637459,Kraft Heinz Co,2019-08-08,6453,40055,0.0,,,
0001633917-17-000167,1633917,"PayPal Holdings, Inc.",2017-10-19,5219,32862,0.0,,,
0001110803-21-000028,1110803,"ILLUMINA, INC.",2021-04-27,3492,22367,0.0,,,
0001193125-24-049124,1692819,Vistra Corp.,2024-02-28,5219,31966,0.0,,,
0000034088-18-000020,34088,EXXON MOBIL CORP,2018-04-27,3552,23406,0.0,,,
0000047217-17-000014,47217,HP INC,2017-05-24,6638,43043,0.0,,,
0001276187-25-000048,1276187,Energy Transfer LP,2025-05-06,5448,36343,0.7284208788487466,supplemental information,SUPPLEMENTAL INFORMATION,
