accession_number,cik,company_name,sector,stratum,form,filing_date,section_type,source_document,verdict,n_toc_entries,n_matching,n_resolvable,shipped_span_is_none,best_source,best_words,best_end_ran_to_eof,rec_words,rec_guarded_words,rec_end_at_eof,end_guard_shortened_span,fb_words,fb_end_at_eof,doc_words,head_char_offset,head_opens_on_item1a,clears_word_floor_15,clears_char_gate_30,guarded_span_still_ends_at_eof,band_p4_0.5-2x_median,band_bimodal_recalibrated,defensible_span,best_head
0000002969-19-000014,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2019-01-25,RISK_FACTORS,apd-10qx31dec2018.htm,R1_genuinely_absent_from_toc,47,0,0,True,none,,,,,,,,,21180,,False,False,,,,,False,
0000002969-19-000029,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2019-04-24,RISK_FACTORS,apd-10qx31mar2019.htm,R1_genuinely_absent_from_toc,47,0,0,True,none,,,,,,,,,25873,,False,False,,,,,False,
0000002969-19-000042,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2019-07-25,RISK_FACTORS,apd-10qx30jun2019.htm,R1_genuinely_absent_from_toc,51,0,0,True,none,,,,,,,,,27998,,False,False,,,,,False,
0000002969-20-000010,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2020-01-24,RISK_FACTORS,apd-10qx31dec19.htm,R1_genuinely_absent_from_toc,49,0,0,True,none,,,,,,,,,20565,,False,False,,,,,False,
0000002969-21-000012,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2021-02-04,RISK_FACTORS,apd-20201231.htm,R1_genuinely_absent_from_toc,45,0,0,True,none,,,,,,,,,18243,,False,False,,,,,False,
0000002969-21-000025,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2021-05-10,RISK_FACTORS,apd-20210331.htm,R1_genuinely_absent_from_toc,49,0,0,True,none,,,,,,,,,26830,,False,False,,,,,False,
0000002969-21-000043,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2021-08-09,RISK_FACTORS,apd-20210630.htm,R1_genuinely_absent_from_toc,49,0,0,True,none,,,,,,,,,27073,,False,False,,,,,False,
0000002969-22-000010,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2022-02-04,RISK_FACTORS,apd-20211231.htm,R1_genuinely_absent_from_toc,47,0,0,True,none,,,,,,,,,19130,,False,False,,,,,False,
0000002969-22-000026,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2022-05-05,RISK_FACTORS,apd-20220331.htm,R1_genuinely_absent_from_toc,51,0,0,True,none,,,,,,,,,25865,,False,False,,,,,False,
0000002969-22-000038,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2022-08-04,RISK_FACTORS,apd-20220630.htm,R1_genuinely_absent_from_toc,51,0,0,True,none,,,,,,,,,27121,,False,False,,,,,False,
0000002969-23-000014,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2023-02-02,RISK_FACTORS,apd-20221231.htm,R1_genuinely_absent_from_toc,52,0,0,True,none,,,,,,,,,20072,,False,False,,,,,False,
0000002969-23-000023,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2023-05-09,RISK_FACTORS,apd-20230331.htm,R1_genuinely_absent_from_toc,51,0,0,True,none,,,,,,,,,26855,,False,False,,,,,False,
0000002969-23-000037,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2023-08-03,RISK_FACTORS,apd-20230630.htm,R1_genuinely_absent_from_toc,55,0,0,True,none,,,,,,,,,27842,,False,False,,,,,False,
0000002969-24-000010,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2024-02-05,RISK_FACTORS,apd-20231231.htm,R1_genuinely_absent_from_toc,45,0,0,True,none,,,,,,,,,20503,,False,False,,,,,False,
0000002969-24-000026,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2024-04-30,RISK_FACTORS,apd-20240331.htm,R1_genuinely_absent_from_toc,51,0,0,True,none,,,,,,,,,26496,,False,False,,,,,False,
0000002969-24-000043,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2024-08-01,RISK_FACTORS,apd-20240630.htm,R1_genuinely_absent_from_toc,53,0,0,True,none,,,,,,,,,27466,,False,False,,,,,False,
0000002969-25-000013,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2025-02-06,RISK_FACTORS,apd-20241231.htm,R1_genuinely_absent_from_toc,45,0,0,True,none,,,,,,,,,21453,,False,False,,,,,False,
0000002969-25-000027,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2025-05-01,RISK_FACTORS,apd-20250331.htm,R1_genuinely_absent_from_toc,51,0,0,True,none,,,,,,,,,32714,,False,False,,,,,False,
0000002969-25-000044,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2025-07-31,RISK_FACTORS,apd-20250630.htm,R1_genuinely_absent_from_toc,55,0,0,True,none,,,,,,,,,34644,,False,False,,,,,False,
0000002969-26-000020,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2026-04-30,RISK_FACTORS,apd-20260331.htm,R1_genuinely_absent_from_toc,51,0,0,True,none,,,,,,,,,30814,,False,False,,,,,False,
0000002969-26-000036,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-Q,2026-07-30,RISK_FACTORS,apd-20260630.htm,R1_genuinely_absent_from_toc,51,0,0,True,none,,,,,,,,,32584,,False,False,,,,,False,
0001390777-15-000107,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2015-08-07,RISK_FACTORS,bkq2201510-q.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,72940,,False,False,,,,,False,
0001390777-15-000132,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2015-11-06,RISK_FACTORS,bk3q201510-q.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,69243,,False,False,,,,,False,
0001390777-16-000226,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2016-05-10,RISK_FACTORS,bk1q201610-q.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,60122,,False,False,,,,,False,
0001390777-18-000083,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2018-05-08,RISK_FACTORS,form10-q_1q18.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,51819,,False,False,,,,,False,
0001390777-18-000113,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2018-08-03,RISK_FACTORS,form10-q_2q18.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,56413,,False,False,,,,,False,
0001390777-18-000129,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2018-11-06,RISK_FACTORS,form10-q_3q18.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,56181,,False,False,,,,,False,
0001390777-19-000063,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2019-05-08,RISK_FACTORS,form10-q1q19.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,51639,,False,False,,,,,False,
0001390777-19-000080,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2019-08-07,RISK_FACTORS,form10-q2q19.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,57529,,False,False,,,,,False,
0001390777-19-000104,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2019-11-07,RISK_FACTORS,form10-q3q19.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,57397,,False,False,,,,,False,
0001390777-21-000046,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2021-05-06,RISK_FACTORS,bk-20210331.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,54193,,False,False,,,,,False,
0001390777-21-000070,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2021-08-05,RISK_FACTORS,bk-20210630.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,59603,,False,False,,,,,False,
0001390777-21-000095,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2021-11-05,RISK_FACTORS,bk-20210930.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,58871,,False,False,,,,,False,
0001390777-22-000049,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2022-05-06,RISK_FACTORS,bk-20220331.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,52859,,False,False,,,,,False,
0001390777-22-000075,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2022-08-05,RISK_FACTORS,bk-20220630.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,58307,,False,False,,,,,False,
0001390777-22-000101,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2022-11-07,RISK_FACTORS,bk-20220930.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,60700,,False,False,,,,,False,
0001390777-23-000046,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2023-05-05,RISK_FACTORS,bk-20230331.htm,R1_genuinely_absent_from_toc,10,0,0,True,none,,,,,,,,,52858,,False,False,,,,,False,
0001390777-23-000081,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2023-08-04,RISK_FACTORS,bk-20230630.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,58655,,False,False,,,,,False,
0001390777-23-000103,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2023-11-03,RISK_FACTORS,bk-20230930.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,59702,,False,False,,,,,False,
0001390777-24-000075,1390777,Bank of New York Mellon Corp,financials,core,10-Q,2024-05-03,RISK_FACTORS,bk-20240331.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,55305,,False,False,,,,,False,
