cik,company_name,sector,stratum,accession_number,form,filing_date,section_type,extraction_status,reason_code,flags,extraction_method,extraction_confidence,word_count,prose_word_share,ctrl_ratio,eng_word_share,source_document,note
34088,EXXON MOBIL CORP,energy,core,0000034088-20-000016,10-K,2020-02-26,MDA,FLAGGED,mda_stub_resolved,mda_stub_resolved|heading_regex_fallback,incorporated_by_reference_resolved,medium,13407,0.8091,0.00056,0.45848,xom10k2019.htm,
34088,EXXON MOBIL CORP,energy,core,0000034088-20-000016,10-K,2020-02-26,RISK_FACTORS,FLAGGED,heading_regex_fallback,heading_regex_fallback,heading_regex,low,30337,0.5072,8e-05,0.4574,xom10k2019.htm,
34088,EXXON MOBIL CORP,energy,core,0000034088-21-000012,10-K,2021-02-24,MDA,FLAGGED,mda_stub_resolved,mda_stub_resolved|heading_regex_fallback,incorporated_by_reference_resolved,medium,14482,0.8236,0.0,0.45404,xom-20201231.htm,
34088,EXXON MOBIL CORP,energy,core,0000034088-21-000012,10-K,2021-02-24,RISK_FACTORS,FLAGGED,heading_regex_fallback,heading_regex_fallback,heading_regex,low,32037,0.5254,0.0,0.45919,xom-20201231.htm,
34088,EXXON MOBIL CORP,energy,core,0000034088-22-000011,10-K,2022-02-23,MDA,FLAGGED,mda_stub_resolved,mda_stub_resolved|heading_regex_fallback,incorporated_by_reference_resolved,medium,15286,0.834,0.0,0.43406,xom-20211231.htm,
34088,EXXON MOBIL CORP,energy,core,0000034088-22-000011,10-K,2022-02-23,RISK_FACTORS,FLAGGED,heading_regex_fallback,heading_regex_fallback,heading_regex,low,28793,0.5046,0.0,0.45795,xom-20211231.htm,
36104,US BANCORP \DE\,financials,core,0000036104-24-000018,10-K,2024-02-20,MDA,FLAGGED,mda_stub_external_document,mda_stub_external_document|heading_regex_fallback|below_length_floor,incorporated_by_reference_unresolved,low,49,0.0,0.0,,usb-20231231.htm,
36104,US BANCORP \DE\,financials,core,0000036104-24-000018,10-K,2024-02-20,RISK_FACTORS,FLAGGED,below_length_floor,heading_regex_fallback|below_length_floor,heading_regex,low,39,0.0,0.0,,usb-20231231.htm,
36104,US BANCORP \DE\,financials,core,0000036104-25-000016,10-K,2025-02-21,MDA,FLAGGED,mda_stub_external_document,mda_stub_external_document|heading_regex_fallback|below_length_floor,incorporated_by_reference_unresolved,low,49,0.0,0.0,,usb-20241231.htm,
36104,US BANCORP \DE\,financials,core,0000036104-25-000016,10-K,2025-02-21,RISK_FACTORS,FLAGGED,below_length_floor,heading_regex_fallback|below_length_floor,heading_regex,low,40,0.0,0.0,,usb-20241231.htm,
36104,US BANCORP \DE\,financials,core,0000036104-26-000011,10-K,2026-02-23,MDA,FLAGGED,mda_stub_external_document,mda_stub_external_document|heading_regex_fallback|below_length_floor,incorporated_by_reference_unresolved,low,49,0.0,0.0,,usb-20251231.htm,
36104,US BANCORP \DE\,financials,core,0000036104-26-000011,10-K,2026-02-23,RISK_FACTORS,FLAGGED,below_length_floor,heading_regex_fallback|below_length_floor,heading_regex,low,39,0.0,0.0,,usb-20251231.htm,
45012,HALLIBURTON CO,energy,core,0000045012-16-000272,10-K,2016-02-05,MDA,FLAGGED,mda_stub_unresolved_same_doc,mda_stub_unresolved_same_doc|below_length_floor,incorporated_by_reference_unresolved,low,39,0.0,0.0,,hal_12312015-10k.htm,
45012,HALLIBURTON CO,energy,core,0000045012-17-000047,10-K,2017-02-07,MDA,FLAGGED,mda_stub_unresolved_same_doc,mda_stub_unresolved_same_doc|below_length_floor,incorporated_by_reference_unresolved,low,39,0.0,0.0,,hal_12312016-10k.htm,
45012,HALLIBURTON CO,energy,core,0000045012-18-000059,10-K,2018-02-09,MDA,FLAGGED,mda_stub_unresolved_same_doc,mda_stub_unresolved_same_doc|below_length_floor,incorporated_by_reference_unresolved,low,39,0.0,0.0,,hal_12312017-10k.htm,
45012,HALLIBURTON CO,energy,core,0000045012-19-000044,10-K,2019-02-13,MDA,FLAGGED,mda_stub_unresolved_same_doc,mda_stub_unresolved_same_doc|below_length_floor,incorporated_by_reference_unresolved,low,39,0.0,0.0,,hal12312018-10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-16-000117,10-K,2016-02-18,MDA,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,5545,0.6909,0.0,0.47084,hum-20151231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-16-000117,10-K,2016-02-18,RISK_FACTORS,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,12717,0.8888,0.0,0.45762,hum-20151231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-17-000019,10-K,2017-02-17,MDA,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,5052,0.675,0.0,0.45884,hum-20161231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-17-000019,10-K,2017-02-17,RISK_FACTORS,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,11819,0.8905,0.0,0.45179,hum-20161231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-18-000014,10-K,2018-02-16,MDA,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,4116,0.7075,0.0,0.45981,hum-20171231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-18-000014,10-K,2018-02-16,RISK_FACTORS,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,10811,0.8875,0.0,0.44842,hum-20171231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-19-000023,10-K,2019-02-21,MDA,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,3366,0.7442,0.0,0.44121,hum-20181231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-19-000023,10-K,2019-02-21,RISK_FACTORS,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,10724,0.8751,0.0,0.45122,hum-20181231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-20-000032,10-K,2020-02-20,MDA,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,14338,0.5961,0.0,0.47144,hum-20191231x10k.htm,
49071,HUMANA INC,healthcare,core,0000049071-20-000032,10-K,2020-02-20,RISK_FACTORS,FLAGGED,toc_recovered_f1,toc_recovered_f1|toc_recovery_end_guarded,anchor_resolving_entry,low,10646,0.8688,0.0,0.45257,hum-20191231x10k.htm,
