cik,company_name,sector,stratum,form,section_type,n_attempt,n_ok,n_flagged,n_item_absent_from_toc,n_fail,fail_rate,flag_rate,n_pre2019,fail_rate_pre2019,fail_rate_2019plus,top_reason_code,n_low_confidence,median_words
1483096,WILLIAMS PARTNERS L.P.,energy,core,8-K,EX99_PRESS_RELEASE,13,13,0,0,0,0.0,0.0,13,0.0,,ok,0,9811.0
8670,AUTOMATIC DATA PROCESSING INC,tech,core,10-K,MDA,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,8641.0
8670,AUTOMATIC DATA PROCESSING INC,tech,core,10-K,RISK_FACTORS,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,4932.5
80424,PROCTER & GAMBLE Co,consumer,core,10-K,MDA,12,11,1,0,0,0.0,0.0833,4,0.0,0.0,heading_regex_fallback,1,16665.0
80424,PROCTER & GAMBLE Co,consumer,core,10-K,RISK_FACTORS,12,11,1,0,0,0.0,0.0833,4,0.0,0.0,heading_regex_fallback,1,5249.0
106040,WESTERN DIGITAL CORP,tech,core,10-K,MDA,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,7862.5
106040,WESTERN DIGITAL CORP,tech,core,10-K,RISK_FACTORS,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,12856.0
320187,"NIKE, Inc.",consumer,core,10-K,MDA,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,14421.0
320187,"NIKE, Inc.",consumer,core,10-K,RISK_FACTORS,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,12788.5
707549,LAM RESEARCH CORP,tech,core,10-K,MDA,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,7983.0
707549,LAM RESEARCH CORP,tech,core,10-K,RISK_FACTORS,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,10406.0
789019,MICROSOFT CORP,tech,core,10-K,MDA,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,9024.5
789019,MICROSOFT CORP,tech,core,10-K,RISK_FACTORS,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,9796.5
1001250,ESTEE LAUDER COMPANIES INC,consumer,core,10-K,MDA,12,9,3,0,0,0.0,0.25,4,0.0,0.0,head_keyword_absent,0,15885.0
1001250,ESTEE LAUDER COMPANIES INC,consumer,core,10-K,RISK_FACTORS,12,7,5,0,0,0.0,0.4167,4,0.0,0.0,head_keyword_absent,0,5022.0
1137789,Seagate Technology Holdings plc,tech,core,10-K,RISK_FACTORS,12,12,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,14131.0
2488,ADVANCED MICRO DEVICES INC,tech,core,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,5785.0
2488,ADVANCED MICRO DEVICES INC,tech,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,16683.0
2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-K,MDA,11,11,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,16169.0
2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,4882.0
3570,"Cheniere Energy, Inc.",utilities,extension,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,13833.0
3570,"Cheniere Energy, Inc.",utilities,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,10966.0
4281,Howmet Aerospace Inc.,materials_realestate,extension,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,12810.0
4281,Howmet Aerospace Inc.,materials_realestate,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,8216.0
4904,AMERICAN ELECTRIC POWER CO INC,utilities,extension,10-K,MDA,11,6,5,0,0,0.0,0.4545,3,0.0,0.0,mda_stub_external_document,5,1824.0
4904,AMERICAN ELECTRIC POWER CO INC,utilities,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,8172.0
5272,"AMERICAN INTERNATIONAL GROUP, INC.",financials,core,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,67594.0
6951,APPLIED MATERIALS INC /DE,tech,core,10-K,MDA,11,11,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,10033.0
6951,APPLIED MATERIALS INC /DE,tech,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,8928.0
10795,BECTON DICKINSON & CO,healthcare,core,10-K,MDA,11,11,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,12655.0
10795,BECTON DICKINSON & CO,healthcare,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,7200.0
12927,BOEING CO,industrials,extension,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,13955.0
12927,BOEING CO,industrials,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,7064.0
18230,CATERPILLAR INC,industrials,extension,10-K,MDA,11,8,3,0,0,0.0,0.2727,3,0.0,0.0,toc_recovered_f1,3,19480.0
18230,CATERPILLAR INC,industrials,extension,10-K,RISK_FACTORS,11,8,3,0,0,0.0,0.2727,3,0.0,0.0,toc_recovered_f1,3,7913.0
19617,JPMORGAN CHASE & CO,financials,core,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,60224.0
19617,JPMORGAN CHASE & CO,financials,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,16942.0
21344,COCA COLA CO,consumer,core,10-K,RISK_FACTORS,11,7,4,0,0,0.0,0.3636,3,0.0,0.0,toc_recovered_f1,4,12580.0
21665,COLGATE PALMOLIVE CO,consumer,core,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,16134.0
21665,COLGATE PALMOLIVE CO,consumer,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,7113.0
27419,TARGET CORP,consumer,core,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,6240.0
