chunk_id,arm
E2CHK-dcd193aceddd69bd,P
E2CHK-eb22b11c66fc5e22,P
E2CHK-994a0a58a10f6601,P
E2CHK-c1af67064fd14a76,G-N
E2CHK-24b6855a3e22af3c,P
E2CHK-fccdba6e4a09e1b0,P
E2CHK-3ba2e0555aa64516,P
E2CHK-f600161c99dac606,G-A
E2CHK-7990de57e2f57c69,P
E2CHK-0ddee806369bb5ea,G-A
E2CHK-0cfaf880f0c45565,P
E2CHK-2e00f9f208eb07d1,P
E2CHK-b35504e20027252b,P
E2CHK-222e63615cde8b9e,P
E2CHK-b28810fa52b98867,P
E2CHK-3536f1859d0b9ace,G-A
E2CHK-96587e26aae50670,P
E2CHK-7d248b7a0ff69243,P
E2CHK-054997137de82f7b,P
E2CHK-f250711cbe52f65d,G-N
E2CHK-eb0ee62af8e53b67,P
E2CHK-3d5311484beff83b,G-A
E2CHK-b6465997d25b9ad1,P
E2CHK-b95d1a1455ae1d9c,P
E2CHK-8a0a66af1210f721,G-A
E2CHK-abd2f287f4fb05a2,P
E2CHK-513c52760f4b57ab,P
E2CHK-91128403425f3226,G-N
E2CHK-47cc76dfb9a3c32a,P
E2CHK-467320dd59f87847,G-A
E2CHK-c7d6eab1006311ed,P
E2CHK-ec221a30668ec7eb,P
E2CHK-7e99ae13aba40039,P
E2CHK-8b3bac8422ef1b11,P
E2CHK-8a96bf6a3dd6c8af,P
E2CHK-f473fa26a849163c,P
E2CHK-8e725fe3f8f457ac,P
E2CHK-572b9bcdc6974b67,G-A
E2CHK-6e273e7fca87de2c,P
E2CHK-9df306a8ee4ef6a4,P
E2CHK-77ae5a3574840b81,G-N
E2CHK-15db6e305205f638,P
E2CHK-089c290420f4276a,P
E2CHK-06aa17d41bd8951e,P
E2CHK-76020604051d6b67,P
E2CHK-01a091dac41c8ca4,P
E2CHK-453d033a0c30650c,P
E2CHK-c463b8e0e81caed9,G-A
E2CHK-26745b5e49168f8f,P
E2CHK-22ecc8db74085e3c,P
E2CHK-d50bea6ae29510b8,G-N
E2CHK-35cde1d3b4a84a48,P
E2CHK-904fd36b7c6cda4a,P
E2CHK-fdb7717f3a7c4df3,P
E2CHK-2e0ce7c958667fd1,P
E2CHK-3bbad561a9feafeb,P
E2CHK-836ba628a6896314,G-A
E2CHK-c6893f9e957dd08d,G-N
E2CHK-3b55035eed37c009,P
E2CHK-cecfe507af285466,P
E2CHK-5ac9a7d1fa6700ad,P
E2CHK-e8aae4c51cc7fb94,P
E2CHK-a161581d1b1b04b2,P
E2CHK-ed2706dfa61b52d9,P
E2CHK-5aa7b1784a23960d,P
E2CHK-153830b1cef2ff55,G-A
E2CHK-2d90e2ccfe435d5c,G-N
E2CHK-5dd07d9442b36942,P
E2CHK-3c7fd18aaab7c7df,G-N
E2CHK-b577f0e5e2ba7e9b,P
E2CHK-fbfd259e6cd4a189,P
E2CHK-9347d369054a29cc,P
E2CHK-aededc1f02afd26d,P
E2CHK-dc843d3a2623c573,G-A
E2CHK-7b8487a0ae0f267d,P
E2CHK-e554766755f75667,P
E2CHK-8cd03e16acd39846,G-A
E2CHK-f99b9542b58ebf7a,G-N
