cik,name,instant,filed,val,accn,form,reason
808362,Baker Hughes Holdings LLC,2022-06-30,2023-02-14,0.0,0000808362-23-000010,10-K,zero_or_negative
811156,CMS ENERGY CORP,2010-06-30,2011-02-24,3326.0,0000950123-11-017966,10-K,below_floor
813828,Paramount Global,2009-06-30,2010-02-25,0.0,0001047469-10-001402,10-K,zero_or_negative
820027,AMERIPRISE FINANCIAL INC,2017-06-30,2018-02-23,0.0,0000820027-18-000008,10-K,zero_or_negative
821189,EOG RESOURCES INC,2009-06-30,2009-08-06,17010715530000.0,0000821189-09-000047,10-Q,above_ceiling
821189,EOG RESOURCES INC,2012-06-29,2013-11-06,0.0,0000821189-13-000048,10-Q,zero_or_negative
831259,FREEPORT-MCMORAN INC,2010-06-30,2011-05-06,2.76e+16,0000831259-11-000033,10-Q,above_ceiling
871763,ManpowerGroup Inc.,2021-06-30,2022-02-18,6448736871000000.0,0000950170-22-001500,10-K,above_ceiling
871763,ManpowerGroup Inc.,2022-06-30,2023-02-17,3978364665000000.0,0000950170-23-003214,10-K,above_ceiling
873303,"Sarepta Therapeutics, Inc.",2022-06-30,2023-02-28,6561646013000.0,0000950170-23-005062,10-K,neighbour_jump
873303,"Sarepta Therapeutics, Inc.",2023-06-30,2024-02-28,10681685915000.0,0000950170-24-022036,10-K,above_ceiling
873303,"Sarepta Therapeutics, Inc.",2024-06-30,2025-02-28,15054650800000.0,0000950170-25-029973,10-K,above_ceiling
874499,GULFPORT ENERGY CORP,2013-06-28,2014-02-28,3651716766540.0,0001445305-14-000751,10-K,neighbour_jump
883980,FIRST DATA CORP,2011-12-31,2012-03-05,0.0,0001104659-12-015609,10-K,zero_or_negative
883980,FIRST DATA CORP,2012-12-31,2013-03-19,0.0,0001104659-13-021975,10-K,zero_or_negative
883980,FIRST DATA CORP,2013-12-31,2014-03-10,0.0,0001104659-14-017714,10-K,zero_or_negative
883980,FIRST DATA CORP,2014-06-30,2015-02-27,0.0,0001628280-15-001198,10-K,zero_or_negative
883980,FIRST DATA CORP,2015-06-30,2016-02-25,0.0,0001628280-16-011729,10-K,zero_or_negative
