cik,company_name,sector,stratum,accession_number,form,filing_date,section_type,extraction_status,reason_code,extraction_method,extraction_confidence,word_count,prose_word_share,source_document,note,year,era
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-18-000046,10-K,2018-02-22,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sce201710k.htm,,2018,pre2019
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-18-000046,10-K,2018-02-22,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sce201710k.htm,,2018,pre2019
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-19-000034,10-K,2019-02-28,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sceq4201810k.htm,,2019,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-19-000034,10-K,2019-02-28,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sceq4201810k.htm,,2019,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-20-000026,10-K,2020-02-27,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-sceq4201910k.htm,,2020,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-21-000019,10-K,2021-02-25,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-20201231.htm,,2021,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-22-000006,10-K,2022-02-24,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-20211231x10k.htm,,2022,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-23-000010,10-K,2023-02-23,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-20221231x10k.htm,,2023,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-24-000013,10-K,2024-02-22,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-20231231x10k.htm,,2024,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-25-000022,10-K,2025-02-27,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-20241231.htm,,2025,2019plus
827052,EDISON INTERNATIONAL,utilities,extension,0000827052-26-000012,10-K,2026-02-18,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,eix-20251231.htm,,2026,2019plus
831001,CITIGROUP INC,financials,core,0000831001-16-000235,10-K,2016-02-26,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312015x10k.htm,,2016,pre2019
831001,CITIGROUP INC,financials,core,0000831001-16-000235,10-K,2016-02-26,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312015x10k.htm,,2016,pre2019
831001,CITIGROUP INC,financials,core,0000831001-17-000038,10-K,2017-02-24,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312016x10k.htm,,2017,pre2019
831001,CITIGROUP INC,financials,core,0000831001-17-000038,10-K,2017-02-24,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312016x10k.htm,,2017,pre2019
831001,CITIGROUP INC,financials,core,0000831001-18-000040,10-K,2018-02-23,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312017x10k.htm,,2018,pre2019
831001,CITIGROUP INC,financials,core,0000831001-18-000040,10-K,2018-02-23,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312017x10k.htm,,2018,pre2019
831001,CITIGROUP INC,financials,core,0000831001-19-000027,10-K,2019-02-22,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312018x10k.htm,,2019,2019plus
831001,CITIGROUP INC,financials,core,0000831001-19-000027,10-K,2019-02-22,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312018x10k.htm,,2019,2019plus
831001,CITIGROUP INC,financials,core,0000831001-20-000031,10-K,2020-02-21,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312019x10k.htm,,2020,2019plus
831001,CITIGROUP INC,financials,core,0000831001-20-000031,10-K,2020-02-21,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-12312019x10k.htm,,2020,2019plus
831001,CITIGROUP INC,financials,core,0000831001-21-000042,10-K,2021-02-26,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20201231.htm,,2021,2019plus
831001,CITIGROUP INC,financials,core,0000831001-21-000042,10-K,2021-02-26,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20201231.htm,,2021,2019plus
831001,CITIGROUP INC,financials,core,0000831001-22-000036,10-K,2022-02-28,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20211231.htm,,2022,2019plus
831001,CITIGROUP INC,financials,core,0000831001-22-000036,10-K,2022-02-28,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20211231.htm,,2022,2019plus
831001,CITIGROUP INC,financials,core,0000831001-23-000037,10-K,2023-02-27,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20221231.htm,,2023,2019plus
831001,CITIGROUP INC,financials,core,0000831001-23-000037,10-K,2023-02-27,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20221231.htm,,2023,2019plus
831001,CITIGROUP INC,financials,core,0000831001-24-000033,10-K,2024-02-23,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20231231.htm,,2024,2019plus
831001,CITIGROUP INC,financials,core,0000831001-24-000033,10-K,2024-02-23,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20231231.htm,,2024,2019plus
831001,CITIGROUP INC,financials,core,0000831001-25-000067,10-K,2025-02-21,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20241231.htm,,2025,2019plus
831001,CITIGROUP INC,financials,core,0000831001-25-000067,10-K,2025-02-21,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20241231.htm,,2025,2019plus
831001,CITIGROUP INC,financials,core,0000831001-26-000011,10-K,2026-02-20,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20251231.htm,,2026,2019plus
831001,CITIGROUP INC,financials,core,0000831001-26-000011,10-K,2026-02-20,RISK_FACTORS,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,c-20251231.htm,,2026,2019plus
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-16-000062,10-K,2016-02-26,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2015form10-k.htm,,2016,pre2019
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-17-000012,10-K,2017-02-24,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2016form10-k.htm,,2017,pre2019
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-18-000008,10-K,2018-02-20,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2017form10-k.htm,,2018,pre2019
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-19-000009,10-K,2019-02-15,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2018form10-k.htm,,2019,2019plus
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-20-000004,10-K,2020-02-14,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2019form10-k.htm,,2020,2019plus
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-21-000009,10-K,2021-02-16,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,fcx-20201231.htm,,2021,2019plus
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-22-000009,10-K,2022-02-15,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,fcx-20211231.htm,,2022,2019plus
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-23-000013,10-K,2023-02-15,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,fcx-20221231.htm,,2023,2019plus
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-24-000011,10-K,2024-02-16,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,fcx-20231231.htm,,2024,2019plus
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-25-000006,10-K,2025-02-14,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,fcx-20241231.htm,,2025,2019plus
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,0000831259-26-000012,10-K,2026-02-13,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,fcx-20251231.htm,,2026,2019plus
895421,MORGAN STANLEY,financials,core,0000895421-20-000265,10-K,2020-02-27,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,msq4201910k.htm,,2020,2019plus
895421,MORGAN STANLEY,financials,core,0000895421-20-000265,10-K,2020-02-27,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,msq4201910k.htm,,2020,2019plus
